url,image,prep_time,difficulty
https://themeatmen.sg/milkfish-and-green-papaya-soup/,https://themeatmen.sg/wp-content/uploads/2021/08/DSC08840_thumb.jpg,['1 hr 30 mins'],easy
https://themeatmen.sg/stir-fry-pork-liver-with-scallions/,https://themeatmen.sg/wp-content/uploads/2021/08/liver-19-scaled-1.jpg,['30 mins'],easy
https://themeatmen.sg/pork-trotter-vinegar-confinement/,https://themeatmen.sg/wp-content/uploads/2021/08/DSC08877-THUMB-e1628054018628.jpg,['1 hr 30 mins'],easy
https://themeatmen.sg/shi-quan-tonic-soup-%e5%8d%81%e5%85%a8%e5%a4%a7%e8%a1%a5%e6%b1%a4/,https://themeatmen.sg/wp-content/uploads/2021/08/DSC09896-THUMB.jpg,['2 hr'],easy
https://themeatmen.sg/grilled-avocado-with-tomatoes-and-feta-cheese/,https://themeatmen.sg/wp-content/uploads/2021/07/DSC00202-THUMB.jpeg,['15 min'],easy
https://themeatmen.sg/hainanese-crispy-pork-chop/,https://themeatmen.sg/wp-content/uploads/2021/07/DSC00315_thumb.jpg,['1 hr 30 min'],easy
https://themeatmen.sg/pan-fried-cod-fish-fillet-with-sweet-sour-sauce/,https://themeatmen.sg/wp-content/uploads/2021/07/DSC09908-THUMB.jpg,['15 min'],easy
https://themeatmen.sg/stir-fried-soy-sauce-noodles-chow-mein/,https://themeatmen.sg/wp-content/uploads/2021/07/DSC00261_thumb.jpg,['15 mins'],easy
https://themeatmen.sg/air-fried-vegetable-salad/,https://themeatmen.sg/wp-content/uploads/2021/07/DSC09811_thumb.jpg,,easy
https://themeatmen.sg/roast-chicken-garden-salad/,https://themeatmen.sg/wp-content/uploads/2021/07/DSC09793_thumb.jpg,['15 mins'],easy
https://themeatmen.sg/smoked-duck-pomegranate-salad/,https://themeatmen.sg/wp-content/uploads/2021/07/DSC09759_thumb.jpg,['15 mins'],easy
https://themeatmen.sg/miso-chocolate-chip-cookies/,https://themeatmen.sg/wp-content/uploads/2021/06/Chocolate-Chip-Cookies..jpg,['1 hr'],easy
https://themeatmen.sg/tom-yum-prawn-pasta/,https://themeatmen.sg/wp-content/uploads/2021/06/DSC09782_thumb.jpg,['10 min'],easy
https://themeatmen.sg/lao-gan-ma-aglio-e-olio/,https://themeatmen.sg/wp-content/uploads/2021/06/DSC09759_thumb.jpg,['15 mins'],easy
https://themeatmen.sg/miso-xo-mushroom-pasta/,https://themeatmen.sg/wp-content/uploads/2021/06/DSC09802_thumb.jpg,['10 min'],easy
https://themeatmen.sg/nyonya-chap-chye/,https://themeatmen.sg/wp-content/uploads/2021/06/DSC09614_thumb-e1623673236354.jpg,['30 mins'],easy
https://themeatmen.sg/seafood-bak-chang/,https://themeatmen.sg/wp-content/uploads/2021/06/DSC00258_thumb-e1623318215380.jpeg,['3 hr'],medium
https://themeatmen.sg/yakisoba-snow-crab-leg/,https://themeatmen.sg/wp-content/uploads/2021/04/DSC02386-S.jpg,[': 15 minutes'],easy
https://themeatmen.sg/air-fryer-chinese-style-pork-ribs/,https://themeatmen.sg/wp-content/uploads/2021/06/DSC09898_thumb_2.jpeg,['30 min'],easy
https://themeatmen.sg/kitkat-milk-chocolate-brownies/,https://themeatmen.sg/wp-content/uploads/2021/05/DSC09757_S.jpeg,['15 mins'],easy
https://themeatmen.sg/orange-chicken/,https://themeatmen.sg/wp-content/uploads/2021/05/DSC09483_thumb.jpeg,['15 mins'],easy
